Car;Battery Capacity;Charge Port;Charge Power;Charge Speed;Combined - Cold Weather;Combined - Mild Weather;Drive;Fastcharge Port;Fastcharge Power;Range;Top Speed;Total Power;Vehicle Consumption;Acceleration 0 - 62 mph
Audi-e-tron-Quattro;95.0 kWh;Type 2;11 kW AC;28 mph;225 mi;300 mi;AWD;CCS;150 kW DC;265 mi;130 mph;370 kW (496 hp);335 Wh/mi;4.6 sec
Audi-e-tron-Sportback;95.0 kWh;Type 2;11 kW AC;29 mph;;;AWD;CCS;150 kW DC;280 mi;130 mph;370 kW (496 hp);320 Wh/mi;4.5 sec
BMW-i3;33.2 kWh;Type 2;11 kW AC;36 mph;90 mi;120 mi;Rear;CCS;50 kW DC;105 mi;93 mph;125 kW (168 hp);255 Wh/mi;7.3 sec
BMW-i3-Range-Extender;33.2 kWh;Type 2;11 kW AC;33 mph;80 mi;110 mi;Rear;CCS;50 kW DC;95 mi;93 mph;125 kW (168 hp);285 Wh/mi;8.1 sec
BMW-i3s;33.2 kWh;Type 2;11 kW AC;34 mph;85 mi;120 mi;Rear;CCS;50 kW DC;100 mi;99 mph;135 kW (181 hp);270 Wh/mi;6.9 sec
BMW-i3s-Range-Extender;33.2 kWh;Type 2;11 kW AC;31 mph;75 mi;105 mi;Rear;CCS;50 kW DC;90 mi;99 mph;135 kW (181 hp);300 Wh/mi;7.7 sec
BMW-iX3;70.0 kWh;Type 2;11 kW AC;29 mph;;;AWD;CCS;150 kW DC;215 mi;124 mph;200 kW (268 hp);325 Wh/mi;5.0 sec
Hyundai-IONIQ-Electric;30.5 kWh;Type 2;6.6 kW AC;24 mph;100 mi;140 mi;Front;CCS;70 kW DC;120 mi;103 mph;88 kW (118 hp);230 Wh/mi;9.9 sec
Hyundai-Kona-Electric-40-kWh;42.0 kWh;Type 2;7.2 kW AC;23 mph;125 mi;170 mi;Front;CCS;50 kW DC;150 mi;104 mph;99 kW (133 hp);260 Wh/mi;9.3 sec
Hyundai-Kona-Electric-64-kWh;67.0 kWh;Type 2;7.2 kW AC;22 mph;200 mi;270 mi;Front;CCS;80 kW DC;235 mi;104 mph;150 kW (201 hp);270 Wh/mi;7.6 sec
