"station_id";"name";"latitude";"longitude";"type";"charging_speed";"charging_per_kwh"
101504;"Virta. Ltd 2676";64.1309;-21.8951;"Type2";"22kW";"0.00"
101505;"Virta. Ltd 2756";64.1298;-21.8952;"Type2";"22kW";"0.00"
121384;"Krónan Hafnarfirði";64.0764;-21.9426;"Type2";"22kW";"0.00"
121400;"Ísorka Íþróttamiðstöð að Varmá";64.1699;-21.6898;"Type2";"22kW";"0.00"
121401;"Ísorka Lágafellslaug";64.1646;-21.7254;"Type2";"22kW";"0.00"
121433;"Stoppustuð Vestmannaeyjum";63.4404;-20.2684;"Type2";"22kW";"0.00"
121910;"Hraðhleðsla Strandgötu";64.0681;-21.9576;"Combo";"50kW";"0.00"
121911;"Stoppustuð Hafnarfirði";64.0522;-21.9748;"Type2";"0kW";"0.00"
125859;"Ísorka Sundhöll Selfossi";63.936;-20.9975;"Type2";"0kW";"0.00"
125895;"Ísorka";64.1525;-21.8131;"Schuko";"0kW";"0.00"
125896;"Ísorka Fmos";64.166;-21.6964;"Type2";"0kW";"0.00"
125907;"Iðan - Rafbíladagur";64.1455;-21.8561;"Type2";"0kW";"0.00"
126801;"Ísorka Ráðhús Árborgar";63.9369;-21.002;"Type2";"0kW";"0.00"
126802;"Ísorka JÁVERK-Völlurinn";63.9337;-20.9943;"Type2";"0kW";"0.00"
129214;"Bílastæðahús Vesturgata";64.1489;-21.943;"Type2";"0kW";"0.00"
129216;"Bílastæðahús Traðarkoti";64.1467;-21.9309;"Type2";"0kW";"0.00"
121383;"Stoppustuð Fjallabyggð";66.1502;-18.909;"Type2";"22kW";"0.00"
121389;"Stoppustuð Hlíðarfjalli";65.6624;-18.2109;"Type2";"22kW";"0.00"
121390;"Stoppustuð Norðurþing";66.0468;-17.342;"Type2";"22kW";"0.00"
125929;"Stoppustuð Fljótdalshérað";65.2672;-14.396;"Type2";"0kW";"0.00"
129928;"NL*TNM";81.4973;-14.9903;"Type2";"11kW";"0.37"
7282;"Centro Comercial Travesía de Vigo";42.2404;-8.70269;"Schuko";"3.7kW";"N/A"
7402;"Deasy's Service Station";51.9198;-8.48273;"Chademo";"50kW";"N/A"
7403;"Nissan Windsor Motorworld";51.8931;-8.51136;"Chademo";"50kW";"N/A"
7415;"Topaz Service Station 5";53.2822;-9.06526;"Chademo";"50kW";"N/A"
7416;"Nissan Windsor Motors";53.2888;-9.00005;"Chademo";"50kW";"N/A"
7417;"Nissan Randles Tralee";52.2619;-9.67583;"Chademo";"50kW";"N/A"
7421;"Lunney's Service Station";53.9413;-8.10011;"Chademo";"50kW";"N/A"
7432;"South Mall";51.8964;-8.47344;"3PinSquare";"3.7kW";"N/A"
7433;"Lower Glanmire Road";51.9025;-8.45649;"Type2";"22kW";"N/A"
7434;"Cork Institute of Technology";51.8859;-8.53475;"Type2";"22kW";"N/A"
7439;"Woodquay";53.2767;-9.05316;"3PinSquare";"3.7kW";"N/A"
